arrived_at,num_prefill_tokens,num_decode_tokens
137.404,3374,17
137.404,9543,61
137.404,7941,3
137.404,10294,395
137.404,7250,3
137.404,26568,655
137.404,81406,365
137.404,3151,20
137.404,5466,472
137.404,6324,3
137.404,3124,23
137.404,24066,422
137.404,7011,3
137.404,7078,3
137.404,3208,18
137.404,3101,20
137.404,4958,294
137.404,2988,296
140.457,7001,31
140.457,3279,52
140.457,6855,3
140.457,8902,499
140.457,3193,19
140.457,7505,34
140.457,9862,321
140.457,6357,3
140.457,7553,3
140.457,3845,21
140.457,7044,3
140.457,6091,364
140.457,11970,450
140.457,7122,126
140.457,6706,3
140.457,906,341
140.457,121290,614
140.457,3157,22
140.457,11283,48
143.51,1807,634
143.51,24980,480
143.51,7074,3
143.51,6994,3
143.51,3208,23
143.51,7473,3
143.51,18196,359
143.51,6661,3
143.51,6304,36
143.51,22450,504
143.51,3157,18
143.51,6167,3
143.51,4013,18
143.51,9865,464
143.51,6270,3
143.51,6444,3
143.51,10457,62
143.51,15959,210
143.51,3118,21
143.51,6459,3
143.51,25257,2000
143.51,6637,3
143.51,3157,33
143.51,912,394
143.51,5014,145
143.51,4107,22
146.563,16086,676
146.563,7366,3
146.563,7438,35
146.563,6168,27
146.563,7076,3
146.563,9458,3
146.563,6975,3
146.563,18376,533
146.563,15949,336
146.563,4814,361
146.563,6599,22
146.563,85360,435
146.563,6168,24
146.563,6166,3
146.563,6203,35
146.563,19392,310
146.563,68965,505
146.563,7420,3
146.563,1179,27
146.563,6664,23
146.563,51754,381
146.563,10043,372
146.563,21786,216
146.563,7188,3
146.563,40138,222
146.563,3130,19
149.619,6308,3
149.619,3073,18
149.619,5280,222
149.619,8439,5
149.619,7002,36
149.619,892,459
149.619,6173,3
149.619,6924,31
149.619,10149,571
149.619,32091,537
149.619,9543,71
149.619,27829,300
149.619,28589,542
149.619,3127,20
149.619,3179,21
149.619,6165,3
149.619,3902,341
149.619,24589,540
149.619,6179,33
149.619,930,40
149.619,1541,87
149.619,15511,464
152.672,6168,27
152.672,6861,3
152.672,7058,3
152.672,9679,3
152.672,8370,459
152.672,6994,3
152.672,5747,317
152.672,6452,3
152.672,8456,421
152.672,31578,582
152.672,4030,22
152.672,15176,585
152.672,1839,590
152.672,8506,583
152.672,6880,3
152.672,6714,41
152.672,3124,18
152.672,3142,20
152.672,6216,193
152.672,897,276
152.672,1051,185
152.672,19019,430
152.672,2060,479
152.672,6180,3
152.672,6168,3
155.725,3159,23
155.725,6170,28
155.725,21658,689
155.725,9171,454
155.725,6171,3
155.725,6192,18
155.725,2531,386
155.725,3070,666
155.725,6752,3
155.725,3092,20
155.725,6178,31
155.725,6170,27
155.725,5756,389
155.725,3165,21
155.725,6961,3
155.725,2996,21
155.725,6170,3
155.725,22671,532
158.778,7227,3
158.778,3122,21
158.778,6520,3
158.778,8347,3
158.778,6984,495
158.778,3262,19
158.778,6357,3
158.778,6231,39
158.778,8824,411
158.778,3203,19
158.778,21188,367
158.778,3133,19
158.778,3134,17
158.778,1231,381
158.778,8341,297
158.778,6493,3
158.778,6168,25
158.778,6647,28
158.778,3887,15
158.778,6168,26
158.778,2211,520
158.778,6542,31
158.778,14095,381
158.778,6908,3
158.778,5283,452
161.83,6423,269
161.83,6166,23
161.83,7491,3
161.83,7801,600
161.83,11143,349
161.83,4335,582
161.83,7092,3
161.83,112880,199
161.83,24024,810
161.83,26689,36
161.83,77792,466
161.83,1760,509
161.83,3704,589
161.83,24584,436
161.83,9504,476
161.83,20555,12
161.83,1796,323
161.83,6211,3
161.83,3439,421
164.883,3387,369
164.883,7045,3
164.883,17581,9
164.883,3874,468
164.883,1578,125
164.883,7391,3
164.883,6167,3
164.883,20857,319
164.883,1213,60
164.883,1083,342
164.883,7081,33
164.883,3195,21
164.883,3123,19
164.883,6559,28
164.883,11242,703
167.94,21308,347
167.94,9965,279
167.94,9190,46
167.94,2207,32
167.94,5234,535
167.94,4210,606
167.94,6271,3
167.94,4094,1
167.94,3184,18
167.94,6168,26
167.94,6926,26
167.94,7172,27
167.94,8804,423
167.94,6891,3
167.94,6168,25
167.94,15591,138
170.992,4681,21
170.992,1900,661
170.992,12375,415
170.992,899,240
170.992,2111,508
170.992,6170,28
170.992,2659,394
170.992,3114,21
170.992,5145,510
170.992,20755,502
170.992,3135,18
170.992,6388,3
170.992,7067,33
170.992,6186,3
170.992,8342,331
170.992,16701,484
170.992,3328,15
170.992,6938,3
170.992,5712,515
174.045,15941,340
174.045,7184,3
174.045,1425,362
174.045,6637,15
174.045,6175,32
174.045,8849,346
174.045,11703,53
174.045,6590,28
174.045,3148,20
174.045,9576,242
174.045,7188,3
174.045,893,357
174.045,6632,23
174.045,4210,353
174.045,7960,3
174.045,7232,368
174.045,16430,219
174.045,2584,562
177.098,6241,3
177.098,7393,389
177.098,6170,3
177.098,7518,27
177.098,6350,3
177.098,4262,19
177.098,6712,25
177.098,7420,173
177.098,14136,424
177.098,16531,375
177.098,4121,158
177.098,1381,426
177.098,18556,648
177.098,6826,47
177.098,39243,277
177.098,3132,19
177.098,6689,3
177.098,6799,3
177.098,7020,3
177.098,6424,3
177.098,4364,17
177.098,20573,14
177.098,8777,389
177.098,2967,19
177.098,13336,358
177.098,8167,3
177.098,6883,3
177.098,6174,28
177.098,6166,25
177.098,7040,48
177.098,6455,25
177.098,6165,3
177.098,6697,3
180.151,7060,3
180.151,6173,32
180.151,6669,3
180.151,6173,3
180.151,6172,3
180.151,896,286
180.151,3339,20
180.151,3114,15
180.151,19555,7
180.151,7085,3
180.151,6533,3
180.151,3082,18
180.151,3087,16
180.151,24980,440
180.151,6540,3
180.151,7585,51
180.151,890,107
180.151,3115,18
180.151,6182,3
180.151,891,21
180.151,3974,413
180.151,6169,25
180.151,5991,615
180.151,891,331
180.151,3253,318
180.151,6168,3
180.151,6170,27
180.151,5094,25
180.151,6717,33
180.151,9822,3
183.204,6168,3
183.204,6435,26
183.204,6169,27
183.204,6171,27
183.204,6815,3
183.204,6607,36
183.204,19367,569
183.204,5674,291
183.204,6175,35
183.204,6636,3
183.204,9653,114
183.204,6394,3
183.204,6194,44
183.204,3187,17
183.204,1636,93
183.204,6181,44
183.204,6778,27
183.204,8235,31
183.204,6169,3
183.204,6978,26
183.204,2938,13
183.204,6951,31
183.204,6174,32
183.204,6271,3
183.204,6689,3
183.204,6891,3
183.204,7018,3
183.204,3031,18
183.204,9730,241
183.204,7173,3
183.204,6682,3
183.204,6851,3
183.204,27257,111
183.204,1448,9
183.204,6167,24
183.204,14209,548
183.204,6771,3
186.26,6735,3
186.26,3109,15
186.26,6491,3
186.26,23731,381
186.26,6164,3
186.26,3691,14
186.26,49651,947
186.26,3116,20
186.26,18703,1019
186.26,997,31
186.26,896,625
186.26,6166,23
186.26,9631,107
186.26,6167,31
186.26,8910,3
186.26,6174,3
189.313,7137,537
189.313,11453,93
189.313,1468,336
189.313,6176,3
189.313,6805,550
189.313,3192,13
189.313,6172,32
189.313,8856,3
189.313,3169,24
189.313,6764,3
189.313,3924,21
189.313,6509,3
189.313,10880,856
189.313,6178,32
192.366,10418,423
192.366,41816,457
192.366,7668,3
192.366,6207,3
192.366,3171,18
192.366,6945,221
192.366,6088,164
192.366,6169,25
192.366,3057,22
192.366,42523,300
192.366,6175,26
192.366,10789,211
192.366,2883,74
195.418,6170,3
195.418,6169,24
195.418,15886,541
195.418,7081,1281
195.418,6266,492
195.418,6168,3
195.418,6177,25
195.418,8169,3
195.418,36009,557
195.418,71909,452
195.418,937,327
195.418,4424,98
195.418,2994,20
195.418,11767,242
198.471,6168,3
198.471,29740,480
198.471,7296,3
198.471,5504,525
198.471,898,467
198.471,906,497
198.471,9172,3
198.471,4203,317
198.471,894,216
198.471,2495,275
198.471,6528,363
198.471,1181,1043
198.471,4352,381
198.471,6557,29
201.528,6612,28
201.528,10453,270
201.528,1604,558
201.528,34362,319
201.528,17618,239
204.58,7289,3
204.58,3025,20
204.58,6550,3
204.58,17375,167
204.58,7628,118
204.58,969,351
204.58,1814,271
204.58,6171,3
204.58,894,256
204.58,17581,9
204.58,913,356
204.58,3156,19
204.58,3134,18
204.58,3109,20
204.58,7728,393
204.58,3154,19
204.58,6526,3
204.58,3176,19
204.58,3213,17
204.58,7500,3
207.633,16251,417
207.633,3143,23
207.633,6806,3
207.633,6471,3
207.633,121915,454
207.633,7324,3
207.633,6868,3
207.633,6979,3
207.633,894,39
207.633,7033,3
207.633,6166,24
207.633,3161,21
207.633,6859,266
207.633,3177,23
207.633,3110,21
207.633,7143,3
207.633,3201,20
207.633,891,317
207.633,6270,3
207.633,6186,3
207.633,6194,3
210.686,4558,317
210.686,50787,442
210.686,913,6
210.686,2959,14
210.686,6443,3
210.686,5783,625
210.686,900,233
210.686,7270,3
210.686,6988,28
210.686,3856,183
210.686,7021,3
210.686,45713,108
210.686,4330,92
210.686,6676,26
213.739,1612,491
213.739,22289,635
213.739,6666,3
213.739,6180,37
